City,
Lagos,Lagos
Kano,Kano
Ibadan,Oyo
Kaduna,Kaduna
Port Harcourt,Rivers
Benin City,Edo
Maiduguri,Borno
Zaria,Kaduna
Aba,Abia
Ilorin,Kwara
Jos,Plateau
Ogbomosho,Oyo
Oyo,Oyo
Enugu,Enugu
Abeokuta,Ogun
Onitsha,Anambra
Warri,Delta
Sokoto,Sokoto
Okene,Kogi
Calabar,Cross River
Osogbo,Osun
Katsina,Katsina
Akure,Ondo
Ife,Osun
Bauchi,Bauchi
Iseyin,Oyo
Minna,Niger
Makurdi,Benue
Owo,Ondo
Ado Ekiti,Ekiti
Ilesa,Osun
Gombe,Gombe
Umuahia,Abia
Ondo,Ondo
Damaturu,Yobe
Jimeta,Adamawa
Ikot Ekpene,Akwa Ibom
Gusau,Zamfara
Mubi,Adamawa
Sagamu,Ogun
Owerri,Imo
Ugep,Cross River
Ijebu Ode,Ogun
Ise Ekiti,Ekiti
Gboko,Benue
Ilawe Ekiti,Ekiti
Ikare,Ondo
Abuja,FCT
Bida,Niger
Okpoko,Anambra
Awka,Anambra
Sapele,Delta
Ila,Osun
Shaki,Oyo
Ijero,Ekiti
Otukpo,Benue
Kisi,Oyo
Buguma,Rivers
Funtua,Katsina
Abakaliki,Ebonyi
Gbongan,Osun
Lafia,Nasarawa
Igboho,Oyo
Amaigbo,Abia
Gashua,Yobe
Offa,Kwara
Jalingo,Taraba
Bama,Borno
Uyo,Akwa Ibom
Uromi,Edo
Nsukka,Enugu
Okigwe,Imo
Modakeke,Osun
Yenagoa,Bayelsa
Dutse,Jigawa
Kebbi,Kebbi
